Name,Gender,Affiliation,Position,[Set Theory/Model Theory],[Category Theory],[Real Analysis/Functional Analysis],[Complex Analysis],[Harmonic Analysis],[Partial Differential Equations],[Numerical Analysis],[Group Theory],[Representation Theory],[Rings and Algebra],[Algebraic Number Theory],[Analytic Number Theory],[Combinatorics],[Graph Theory],[Algebraic Geometry],[Differential Geometry],[General Topology],[Algebraic Topology],[Geometric Topology],[Probability Theory],[Statistics],[Computer Algebra],[Data Science],[Cryptography/Coding theory],[Mathematical Modeling],[Classical Mechanics],[Complex Systems/Dynamical Systems],[Quantum Theory],[Relativity and Quantum Relativistic Theories],[Statistical Mechanics]
Mentor1,Male,The University of Alabama,Postdoctoral researcher,,,Second Choice,,,First Choice,Third Choice,,,,,,,,,,,,,,,,Fourth Choice,,,,,,,
Mentor2,Male,Middle East Technical University METU,Master,,,,,,,,,,,,,,,First Choice,Second Choice,,,,,,,,,,,,,,
Mentor3,Male,Illinois Institute of Technology,PhD student,,,,,,,,,,,,,,Second Choice,,,,,,,,,,,First Choice,,,,,
Mentor4,Male,"Higher School of Economics National Research University, Moscow, Russia",Master,,,,Third Choice,,,,Fourth Choice,,Second Choice,,,,,,,,First Choice,,,,,,,,,,,,
Mentor5,Male,İstanbul teknik üniversitesi,PhD student,,,,,,,,Third Choice,,,,,,,,,,Fourth Choice,,,,Second Choice,First Choice,,,,,,,
Mentor6,Male,Penn State,PhD student,,,Fourth Choice,,,,,,,,,,,,,Third Choice,,,,,,,,,,Second Choice,First Choice,,,
Mentor7,Male,Eindhoven University of Technology,PhD student,,,,,,,,,,,,,Second Choice,Third Choice,Fourth Choice,,,,,,,,,First Choice,,,,,,
Mentor8,Female,Bursa Technical University,Postdoctoral researcher,,,,,,,First Choice,,,,,,,Second Choice,,,,,,,,,,,,,,,,
Mentor9,Male,"University at Buffalo, SUNY",PhD student,,,,,,,,,,,,,,,,,,,,,,,Fourth Choice,,First Choice,,Second Choice,,,Third Choice
Mentor10,Female,Middle East technical University,Master,,,,,,Fourth Choice,,,,,Third Choice,,,,First Choice,,Second Choice,,,,,,,,,,,,,
